,subject,rule,init_rev,acc_subj,acc_norm
0,wHjhL,Iota,0,1.0,0.9910125000000001
1,wHjhL,Iota,1,1.0,0.943775
2,wHjhL,Zeta,0,1.0,0.7571624999999992
3,wHjhL,Zeta,1,1.0,0.9879375
4,wHjhL,Omega,0,0.625,0.74505
5,wHjhL,Omega,1,0.5,0.6052624999999998
6,wHjhL,Upsilon,0,0.375,0.8525625000000001
7,wHjhL,Upsilon,1,0.375,1.0
8,wHjhL,Kappa,0,0.625,0.624575
9,wHjhL,Kappa,1,0.5,0.8578374999999999
10,ZECTn,Iota,0,0.625,0.6238750000000001
11,ZECTn,Iota,1,1.0,0.6116624999999999
12,ZECTn,Zeta,0,1.0,0.8938250000000001
13,ZECTn,Zeta,1,1.0,0.8111499999999989
14,ZECTn,Upsilon,0,0.375,0.8432625
15,ZECTn,Upsilon,1,0.625,0.5506875
16,ZECTn,Kappa,0,1.0,0.9030750000000001
17,ZECTn,Kappa,1,1.0,0.7300499999999999
18,ZECTn,Omega,0,0.625,0.534699999999997
19,ZECTn,Omega,1,0.625,0.5554874999999987
20,qEOSD,Omega,0,0.75,0.6606874999999997
21,qEOSD,Omega,1,0.875,0.6196624999999994
22,qEOSD,Zeta,0,1.0,0.9584125
23,qEOSD,Zeta,1,1.0,0.993425
24,qEOSD,Upsilon,0,0.75,0.7852999999999997
25,qEOSD,Upsilon,1,0.5,0.981225
26,rTu4H,Iota,0,0.375,0.706025
27,rTu4H,Iota,1,0.625,0.6214625
28,AYXpS,Kappa,0,1.0,0.6167124999999998
29,AYXpS,Kappa,1,1.0,0.6084749999999995
30,AYXpS,Iota,0,0.5,0.5372124999999999
31,AYXpS,Iota,1,0.75,0.5138375000000001
32,AYXpS,Omega,0,0.5,0.6225999999999997
33,AYXpS,Omega,1,0.5,0.9181
34,AYXpS,Zeta,0,1.0,0.8893249999999996
35,AYXpS,Zeta,1,1.0,0.9960750000000002
36,JATf9,Omega,0,0.5,0.6041999999999998
37,JATf9,Omega,1,0.625,0.6655625000000003
38,JATf9,Upsilon,0,0.75,0.7494124999999999
39,JATf9,Upsilon,1,0.5,0.9158624999999999
40,JATf9,Kappa,0,0.375,0.5407624999999999
41,JATf9,Kappa,1,1.0,0.8844999999999998
42,JATf9,Zeta,0,1.0,0.9950874999999999
43,JATf9,Zeta,1,1.0,0.9935999999999999
44,QgoZL,Zeta,0,1.0,0.5273999999999975
45,QgoZL,Zeta,1,1.0,0.9720875
46,QgoZL,Upsilon,0,1.0,0.6195125000000001
47,QgoZL,Upsilon,1,1.0,0.9088875
48,4hBLT,Iota,0,0.625,0.6211749999999999
49,4hBLT,Iota,1,1.0,0.6157374999999998
50,4hBLT,Kappa,0,0.875,0.6324499999999996
51,4hBLT,Kappa,1,1.0,0.7525374999999996
52,4hBLT,Omega,0,0.625,0.6161874999999999
53,4hBLT,Omega,1,0.625,0.5824374999999995
54,4hBLT,Upsilon,0,0.625,0.7333125000000003
55,4hBLT,Upsilon,1,0.625,0.9868125
56,4hBLT,Zeta,0,1.0,0.9845875
57,4hBLT,Zeta,1,1.0,0.993975
58,tGNdP,Upsilon,0,0.75,0.5453499999999983
59,tGNdP,Upsilon,1,0.5,0.96775
60,tGNdP,Kappa,0,0.75,0.6969874999999996
61,tGNdP,Kappa,1,0.875,0.9839499999999999
62,tGNdP,Omega,0,0.375,0.6148750000000002
63,tGNdP,Omega,1,0.25,0.7910624999999999
64,tGNdP,Zeta,0,1.0,0.9992875000000002
65,tGNdP,Zeta,1,1.0,0.995
66,tGNdP,Iota,0,0.625,0.6201125000000001
67,tGNdP,Iota,1,1.0,0.933875
68,3x2t1,Upsilon,0,0.625,0.9799374999999999
69,3x2t1,Upsilon,1,0.75,0.94785
70,3x2t1,Iota,0,0.75,0.6538749999999994
71,3x2t1,Iota,1,0.75,0.7464875000000001
72,3x2t1,Zeta,0,0.75,0.8507374999999989
73,3x2t1,Zeta,1,1.0,0.9852749999999999
74,3x2t1,Kappa,0,0.125,0.8455
75,3x2t1,Kappa,1,0.5,0.7083999999999999
76,HSmD4,Iota,0,1.0,0.9578
77,HSmD4,Iota,1,1.0,0.8533749999999999
78,HSmD4,Kappa,0,1.0,0.4487249999999987
79,HSmD4,Kappa,1,1.0,0.9717500000000001
80,HSmD4,Omega,0,0.75,0.5937999999999998
81,HSmD4,Omega,1,0.75,0.99495
82,HSmD4,Zeta,0,1.0,0.9843375
83,HSmD4,Zeta,1,1.0,0.7397250000000001
84,HSmD4,Upsilon,0,0.625,0.9987375000000001
85,HSmD4,Upsilon,1,0.5,0.9707
86,seghl,Iota,0,0.625,0.6255624999999999
87,seghl,Iota,1,0.625,0.9331999999999999
88,seghl,Omega,0,0.375,0.5553249999999998
89,seghl,Omega,1,0.625,0.9780874999999999
90,9cMOT,Zeta,0,0.625,0.9833124999999999
91,9cMOT,Zeta,1,0.625,0.887875
92,9cMOT,Omega,0,0.625,0.6276625
93,9cMOT,Omega,1,0.625,0.7761625
94,9cMOT,Iota,0,0.375,0.43883749999999955
95,9cMOT,Iota,1,0.375,0.9995375
96,9cMOT,Kappa,0,0.375,0.5016375
97,9cMOT,Kappa,1,0.625,0.96435
98,jUCAC,Zeta,0,0.625,0.9961125
99,jUCAC,Zeta,1,0.625,0.9972749999999999
100,jUCAC,Omega,0,0.375,0.6147500000000001
101,jUCAC,Omega,1,0.625,0.9067499999999997
102,jUCAC,Upsilon,0,0.625,0.7600374999999989
103,jUCAC,Upsilon,1,0.625,0.8528249999999999
104,jUCAC,Iota,0,0.625,0.48502499999999715
105,jUCAC,Iota,1,0.625,0.9403875
106,6jBfW,Upsilon,0,0.625,0.8230250000000001
107,6jBfW,Upsilon,1,0.75,0.6565624999999999
108,6jBfW,Omega,0,0.625,0.5283374999999995
109,6jBfW,Omega,1,0.625,0.47264999999999824
110,P7FU1,Kappa,0,0.25,0.6626999999999994
111,P7FU1,Kappa,1,0.375,0.8233374999999996
112,P7FU1,Iota,0,0.375,0.5987124999999998
113,P7FU1,Iota,1,0.25,0.6832874999999998
114,P7FU1,Zeta,0,0.625,0.9003499999999985
115,P7FU1,Zeta,1,1.0,0.9436874999999993
116,HMsR4,Kappa,0,1.0,0.5776749999999997
117,HMsR4,Kappa,1,1.0,0.8331
118,HMsR4,Iota,0,0.25,0.5034624999999986
119,HMsR4,Iota,1,0.625,0.62225
120,HMsR4,Zeta,0,1.0,0.5364374999999975
121,HMsR4,Zeta,1,1.0,0.9895624999999998
122,uR94z,Upsilon,0,0.625,0.85075
123,uR94z,Upsilon,1,0.625,0.9986125
124,uR94z,Kappa,0,0.375,0.8115000000000001
125,uR94z,Kappa,1,0.875,0.7851749999999997
126,uR94z,Omega,0,0.375,0.5053249999999999
127,uR94z,Omega,1,0.5,0.6284000000000001
128,uR94z,Iota,0,0.75,0.4273125000000001
129,uR94z,Iota,1,0.875,0.8833500000000001
130,uR94z,Zeta,0,0.625,0.9929374999999999
131,uR94z,Zeta,1,1.0,0.9457375
132,x0d4k,Omega,0,0.625,0.5854999999999981
133,x0d4k,Omega,1,0.625,0.5704374999999993
134,x0d4k,Kappa,0,1.0,0.7460000000000001
135,x0d4k,Kappa,1,1.0,0.7407374999999998
136,x0d4k,Iota,0,0.75,0.8723125
137,x0d4k,Iota,1,0.75,0.8358749999999999
138,x0d4k,Upsilon,0,0.625,0.7199999999999999
139,x0d4k,Upsilon,1,1.0,0.7012499999999999
140,x0d4k,Zeta,0,1.0,0.8755749999999994
141,x0d4k,Zeta,1,1.0,0.8863874999999998
142,Ft3Te,Omega,0,0.5,0.7321625
143,Ft3Te,Omega,1,0.875,0.6524499999999998
144,Ft3Te,Kappa,0,0.875,0.7725124999999999
145,Ft3Te,Kappa,1,1.0,0.9676500000000002
146,Ft3Te,Iota,0,0.625,0.7228874999999997
147,Ft3Te,Iota,1,1.0,0.7407250000000001
148,Ft3Te,Upsilon,0,0.75,0.7365000000000004
149,Ft3Te,Upsilon,1,0.625,0.9319250000000001
150,Ft3Te,Zeta,0,1.0,0.9444624999999993
151,Ft3Te,Zeta,1,1.0,0.979475
152,18SWe,Upsilon,0,0.375,0.7161874999999991
153,18SWe,Upsilon,1,0.625,0.9493
154,18SWe,Kappa,0,0.625,0.3964375
